"TID","EN","FR","DE","ES","IT","NL","NO","TR","JP","KR","RU","AR","PT","CN","CNT"
"TID_DOMINICAN_REPUBLIC","Dominican Republic","République dominicaine","Dominikanische Republik","República Dominicana","Repubblica Dominicana","Dominicaanse Republiek","Den dominikanske republikk","Dominik Cumhuriyeti","ドミニカ共和国","도미니카 공화국","Доминиканская Республика","جمهورية الدومنيكان","República Dominicana","多米尼加共和国","多明尼加"
"TID_ECUADOR","Ecuador","Équateur","Ecuador","Ecuador","Ecuador","Ecuador","Ecuador","Ekvador","エクアドル","에콰도르","Эквадор","الإكوادور","Equador","厄瓜多尔","厄瓜多"
"TID_EGYPT","Egypt","Égypte","Ägypten","Egipto","Egitto","Egypte","Egypt","Mısır","エジプト","이집트","Египет","مصر","Egito","埃及","埃及"
"TID_EL_SALVADOR","El Salvador","Salvador","El Salvador","El Salvador","El Salvador","El Salvador","El Salvador","El Salvador","エルサルバドル","엘 살바도르","Сальвадор","السلفادور","El Salvador","萨尔瓦多","薩爾瓦多"
"TID_EQUATORIAL_GUINEA","Equatorial Guinea","Guinée équatoriale","Äquatorialguinea","Guinea Ecuatorial","Guinea Equatoriale","Equatoriaal-Guinea","Ekvatorial-Guinea","Ekvator Ginesi","赤道ギニア","적도 기니","Экваториальная Гвинея","غينيا الاستوائية","Guiné Equatorial","赤道几内亚","赤道幾內亞"
"TID_ERITREA","Eritrea","Érythrée","Eritrea","Eritrea","Eritrea","Eritrea","Eritrea","Eritre","エリトリア","에리트레아","Эритрея","إريتيريا","Eritreia","厄立特里亚国","厄利垂亞"
"TID_ESTONIA","Estonia","Estonie","Estland","Estonia","Estonia","Estland","Estland","Estonya","エストニア","에스토니아","Эстония","إستونيا","Estônia","爱沙尼亚","愛沙尼亞"
"TID_ETHIOPIA","Ethiopia","Éthiopie","Äthiopien","Etiopía","Etiopia","Ethiopië","Etiopia","Etiyopya","エチオピア","에티오피아","Эфиопия","إثيوبيا","Etiópia","埃塞俄比亚","衣索比亞"
"TID_FALKLAND_ISLANDS","Falkland Islands","Îles Malouines","Falklandinseln","Islas Malvinas","Isole Falkland","Falklandeilanden","Falklandsøyene","Falkland Adaları","フォークランド諸島","포클랜드 제도","Фолклендские острова","جزر فوكلاند","Ilhas Falkland","福克兰群岛","福克蘭群島"
"TID_FAROE_ISLANDS","Faroe Islands","Îles Féroé","Färöer-Inseln","Islas Feroe","Isole Faroe","Faeröer","Færøyene","Faroe Adaları","フェロー諸島","패로 제도","Фарерские острова","جزر فارو","Ilhas Faroé","法罗群岛","法羅群島"
"TID_FIJI","Fiji","Fidji","Fidschi","Fiyi","Fiji","Fiji","Fiji","Fiji","フィジー","피지","Фуджи","فيجي","Fiji","斐济","斐濟"
"TID_FINLAND","Finland","Finlande","Finnland","Finlandia","Finlandia","Finland","Finland","Finlandiya","フィンランド","핀란드","Финляндия","فنلندا","Finlândia","芬兰","芬蘭"
"TID_FRANCE","France","France","Frankreich","Francia","Francia","Frankrijk","Frankrike","Fransa","フランス","프랑스","Франция","فرنسا","França","法国","法國"
"TID_FRENCH_GUIANA","French Guiana","Guyane","Französisch-Guayana","Guayana Francesa","Guyana Francese","Frans-Guyana","Fransk Guyana","Fransa Ginesi","フランス領ギニア","프랑스령 기아나","Французская Гвиана","غيانا الفرنسية","Guiana Francesa","法属圭亚那","法屬圭亞那"
"TID_FRENCH_POLYNESIA","French Polynesia","Polynésie française","Französisch-Polynesien","Polinesia Francesa","Polinesia Francese","Frans-Polynesië","Fransk Polynesia","Fransa Polinezyası","フランス領ポリネシア","프랑스령 폴리네시아","Французская Полинезия","بولينيزيا الفرنسية","Polinésia Francesa","法属玻里尼西亚","法屬玻里尼西亞"
"TID_FRENCH_SOUTHERN_TERRITORIES","French Southern Territories","Terres australes et antarctiques françaises","Französische Süd- und Antarktisgebiete","Tierras Australes y Antárticas Francesas","Terre Australi e Antartiche Francesi","Franse Zuidelijke Gebieden","De franske sørterritorier","Fransa'nın Güney Bölgeleri","フランス領南方・南極地域","프랑스령 남부 영역","Французские Южные территории","الأقاليم الجنوبية الفرنسية","Territórios Franceses do Sul","法属南半球领地","法屬南部和南極領地"
"TID_GABON","Gabon","Gabon","Gabun","Gabón","Gabon","Gabon","Gabon","Gabon","ガボン","가봉","Габон","الغابون","Gabão","加蓬","加彭"
"TID_GAMBIA","Gambia","Gambie","Gambia","Gambia","Gambia","Gambia","Gambia","Gambiya","ガンビア","감비아","Гамбия","غامبيا","Gâmbia","冈比亚","甘比亞"
"TID_GEORGIA","Georgia","Géorgie","Georgien","Georgia","Georgia","Georgië","Georgia","Gürcistan","グルジア","조지아","Грузия","جورجيا","Georgia","格鲁吉亚","喬治亞"
"TID_GERMANY","Germany","Allemagne","Deutschland","Alemania","Germania","Duitsland","Tyskland","Almanya","ドイツ","독일","Германия","ألمانيا","Alemanha","德国","德國"
"TID_GHANA","Ghana","Ghana","Ghana","Ghana","Ghana","Ghana","Ghana","Gana","ガーナ","가나","Гана","غانا","Gana","加纳","迦納"
"TID_GIBRALTAR","Gibraltar","Gibraltar","Gibraltar","Gibraltar","Gibilterra","Gibraltar","Gibraltar","Cebelitarık","ジブラルタル","지브롤타","Гибралтар","جبل طارق","Gibraltar","直布罗陀","直布羅陀"
"TID_GREECE","Greece","Grèce","Griechenland","Grecia","Grecia","Griekenland","Hellas","Yunanistan","ギリシャ","그리스","Греция","اليونان","Grécia","希腊","希臘"
"TID_GREENLAND","Greenland","Groenland","Grönland","Groenlandia","Groenlandia","Groenland","Grønland","Grönland","グリーンランド","그린란드","Гринландия","غرينلاند","Groenlândia","格陵兰","格陵蘭"
"TID_GRENADA","Grenada","Grenade","Grenada","Granada","Grenada","Grenada","Grenada","Grenada","グレナダ","그레나다","Гренада","غرينادا","Granada","格林纳达","格瑞那達"
"TID_GUADELOUPE","Guadeloupe","Guadeloupe","Guadeloupe","Guadalupe","Guadalupa","Guadeloupe","Guadeloupe","Guadölup","グアドループ","과달루프","Гваделупа","غوادلوب","Guadalupe","瓜德罗普岛","瓜德羅普"
"TID_GUAM","Guam","Guam","Guam","Guam","Guam","Guam","Guam","Guam","グアム","괌","Гуам","غوام","Guam","关岛","關島"
"TID_GUATEMALA","Guatemala","Guatemala","Guatemala","Guatemala","Guatemala","Guatemala","Guatemala","Guatemala","グアテマラ","과테말라","Гватемала","غواتيمالا","Guatemala","危地马拉","瓜地馬拉"
"TID_GUERNSEY","Guernsey","Guernesey","Guernsey","Guernsey","Guernsey","Guernsey","Guernsey","Guernsay","ガーンジー","건지","Гернси","غيرنسي","Guernsey","根西岛","根西"
"TID_GUINEA","Guinea","Guinée","Guinea","Guinea","Guinea","Guinee","Guinea","Gine","ギニア","기니","Гвинея","غينيا","Guiné Equatorial","几内亚","幾內亞"
"TID_GUINEA-BISSAU","Guinea-Bissau","Guinée-Bissau","Guinea-Bissau","Guinea-Bisáu","Guinea-Bissau","Guinee-Bissau","Guinea-Bissau","Gine-Bissau","ギニアビサウ","기니비사우","Гвинея-Бисау","غينيا بيساو","Guiné-Bissau","几内亚比绍","幾內亞比索"
"TID_GUYANA","Guyana","Guyane","Guyana","Guyana","Guyana","Guyana","Guyana","Guyana","ガイアナ","가이아나","Гайана","غيانا","Guiana","圭亚那","蓋亞那"
"TID_HAITI","Haiti","Haïti","Haiti","Haití","Haiti","Haïti","Haiti","Haiti","ハイチ","아이티","Гаити","هايتي","Haiti","海地","海地"
"TID_HEARD_MCDONALD_ISLANDS","Heard & McDonald Islands","Îles Heard-et-MacDonald","Heard und McDonald-Inseln","Islas Heard y McDonald","Isole Heard e McDonald","Heard en McDonaldeilanden","Heard- og McDonaldøyene","Heard & McDonald Adaları","ハード島とマクドナルド諸島","허드와 맥도날드 제도","Остров Херд и острова Макдональд","جزر هيرد ومكدونالد","Ilhas Heard e McDonald","赫德和麦克唐纳群岛","赫德島和麥克唐納群島"
"TID_HONDURAS","Honduras","Honduras","Honduras","Honduras","Honduras","Honduras","Honduras","Honduras","ホンジュラス","온두라스","Гондурас","هندوراس","Honduras","洪都拉斯","宏都拉斯"
"TID_HONG_KONG","Hong Kong","Hong Kong","Hongkong","Hong Kong","Hong Kong","Hongkong","Hong Kong","Hong Kong","香港","홍콩","Гонконг","هونغ كونغ","Hong Kong","香港","香港"
"TID_HUNGARY","Hungary","Hongrie","Ungarn","Hungría","Ungheria","Hongarije","Ungarn","Macaristan","ハンガリー","헝가리","Венгрия","المجر","Hungria","匈牙利","匈牙利"
"TID_ICELAND","Iceland","Islande","Island","Islandia","Islanda","IJsland","Island","İzlanda","アイスランド","아이슬란드","Исландия","آيسلندا","Islândia","冰岛","冰島"
"TID_INDIA","India","Inde","Indien","India","India","India","India","Hindistan","インド","인도","Индия","الهند","Índia","印度","印度"
"TID_INDONESIA","Indonesia","Indonésie","Indonesien","Indonesia","Indonesia","Indonesië","Indonesia","Endonezya","インドネシア","인도네시아","Индонезия","إندونيسيا","Indonésia","印度尼西亚","印尼"
"TID_IRAN","Iran","Iran","Iran","Irán","Iran","Iran","Iran","İran","イラン","이란","Иран","إيران","Irã","伊朗","伊朗"
"TID_IRAQ","Iraq","Iraq","Irak","Irak","Iraq","Irak","Irak","Irak","イラク","이라크","Ирак","العراق","Iraque","伊拉克","伊拉克"
"TID_IRELAND","Ireland","Irlande","Irland","Irlanda","Irlanda","Ierland","Irland","İrlanda","アイルランド","아일랜드","Ирландия","آيرلندا","Irlanda","爱尔兰","愛爾蘭"
"TID_ISLE_OF_MAN","Isle of Man","Île de Man","Isle of Man","Isla de Man","Isola di Man","Eiland Man","Man","Man Adası","マン島","맨섬","Остров Мэн","جزيرة مان","Ilha de Man","英国属地曼岛","曼島"
"TID_ISRAEL","Israel","Israël","Israel","Israel","Israele","Israël","Israel","İsrail","イスラエル","이스라엘","Израиль","إسرائيل","Israel","以色列","以色列"
"TID_ITALY","Italy","Italie","Italien","Italia","Italia","Italië","Italia","İtalya","イタリア","이탈리아","Италия","إيطاليا","Itália","意大利","義大利"
"TID_JAMAICA","Jamaica","Jamaïque","Jamaika","Jamaica","Giamaica","Jamaica","Jamaica","Jamaika","ジャマイカ","자마이카","Ямайка","جامايكا","Jamaica","牙买加","牙買加"
"TID_JAPAN","Japan","Japon","Japan","Japón","Giappone","Japan","Japan","Japonya","日本","일본","Япония","اليابان","Japão!","日本","日本"
"TID_JERSEY","Jersey","Jersey","Jersey","Jersey","Jersey","Jersey","Jersey","Jersey","ジャージー","저지","Джерси","جيرسي","Jersey","泽西岛","澤西"
"TID_JORDAN","Jordan","Jordanie","Jordanien","Jordania","Jordan","Jordanië","Jordan","Ürdün","ヨルダン","요르단","Иордания","الأردن","Jordânia","约旦","約旦"
"TID_KAZAKHSTAN","Kazakhstan","Kazakhstan","Kasachstan","Kazajistán","Kazakistan","Kazakhstan","Kasakhstan","Kazakistan","カザフスタン","카자흐스탄","Казахстан","كازخستان","Cazaquistão","哈萨克斯坦","哈薩克"
"TID_KENYA","Kenya","Kenya","Kenia","Kenia","Kenya","Kenia","Kenya","Kenya","ケニア","케냐","Кения","كينيا","Quênia","肯尼亚","肯亞"
"TID_KIRIBATI","Kiribati","Kiribati","Kiribati","Kiribati","Kiribati","Kiribati","Kiribati","Kiribati","キリバス","키리바시","Кирибати","كيريباس","Kiribati","基里巴斯","吉里巴斯"
"TID_KOSOVO","Kosovo","Kosovo","Kosovo","Kosovo","Kosovo","Kosovo","Kosovo","Kosova","コソヴォ","코소보","Косово","كوسوفو","Kosovo","科索沃","科索沃"
"TID_KUWAIT","Kuwait","Koweït","Kuwait","Kuwait","Kuwait","Koeweit","Kuwait","Kuveyt","クウェート","쿠웨이트","Кувейт","الكويت","Kuwait","科威特","科威特"
"TID_KYRGYZSTAN","Kyrgyzstan","Kirghizstan","Kirgisistan","Kirguistán","Kirghizistan","Kirgizië","Kirgisistan","Kırgızistan","キルギスタン","키르기스탄","Киргизия","قيرغيزستان","Quirguistão","吉尔吉斯斯坦","吉爾吉斯"
"TID_LAOS","Laos","Laos","Laos","Laos","Laos","Laos","Laos","Laos","ラオス","라오스","Лаос","لاوس","Laos","老挝","寮國"
"TID_LATVIA","Latvia","Lettonie","Lettland","Letonia","Lettonia","Letland","Latvia","Letonya","ラトビア","라트비아","Латвия","لاتفيا","Letônia","拉脱维亚","拉脫維亞"
"TID_LEBANON","Lebanon","Liban","Libanon","Líbano","Libano","Libanon","Libanon","Lübnan","レバノン","레바논","Ливан","لبنان","Líbano","黎巴嫩","黎巴嫩"
"TID_LESOTHO","Lesotho","Lesotho","Lesotho","Lesoto","Lesotho","Lesotho","Lesotho","Lesoto","レソト","레소토","Лесото","ليسوتو","Lesoto","莱索托","賴索托"
"TID_LIBERIA","Liberia","Liberia","Liberia","Liberia","Liberia","Liberia","Liberia","Liberya","リベリア","라이베리아","Либерия","ليبريا","Libéria","利比里亚","賴比瑞亞"
"TID_LIBYA","Libya","Libye","Libyen","Libia","Libia","Libië","Libya","Libya","リビア","리비아","Ливия","ليبيا","Líbia","利比亚","利比亞"
"TID_LIECHTENSTEIN","Liechtenstein","Liechtenstein","Liechtenstein","Liechtenstein","Liechtenstein","Liechtenstein","Liechtenstein","Lihtenştayn","リヒテンシュタイン","리히텐슈타인","Лихтенштейн","ليشتنشتاين","Liechtenstein","列支敦士登","列支敦斯登"
"TID_LITHUANIA","Lithuania","Lituanie","Litauen","Lituania","Lituania","Litouwen","Litauen","Litvanya","リトアニア","리투아니아","Литва","ليتوانيا","Lituânia","立陶宛","立陶宛"
"TID_LUXEMBOURG","Luxembourg","Luxembourg","Luxemburg","Luxemburgo","Lussemburgo","Luxemburg","Luxembourg","Lüksemburg","ルクセンブルク","룩셈부르크","Люксембург","لوكسمبورغ","Luxemburgo","卢森堡","盧森堡"
"TID_MACAU","Macau","Macao","Macau","Macao","Macao","Macau","Macao","Makao","マカオ","마카오","Макао","ماكاو","Macau","澳门","澳門"
"TID_MACEDONIA_FYROM","Macedonia (FYROM)","Macédoine","Mazedonien (EJRM)","Macedonia (ARYM)","Repubblica di Macedonia","Macedonië","Makedonia","Makedonya (MEYC)","マケドニア共和国","마케도니아","Республика Македония","مقدونيا (جمهورية مقدونيا اليوغوسلافية السابقة)","Macedônia (FYROM)","马其顿 (FYROM)","馬其頓共和國"
"TID_MADAGASCAR","Madagascar","Madagascar","Madagaskar","Madagascar","Madagascar","Madagaskar","Madagaskar","Madagaskar","マダガスカル","마다가스카","Мадагаскар","مدغشقر","Madagascar","马达加斯加","馬達加斯加"
"TID_MALAWI","Malawi","Malawi","Malawi","Malaui","Malawi","Malawi","Malawi","Malavi","マラウィ","말라위","Малави","ملاوي","Malauí","马拉维","馬拉威"
"TID_MALAYSIA","Malaysia","Malaisie","Malaysia","Malasia","Malesia","Maleisië","Malaysia","Malezya","マレーシア","말레이시아","Малайзия","ماليزيا","Malásia","马来西亚","馬來西亞"
"TID_MALDIVES","Maldives","Maldives","Malediven","Maldivas","Maldive","Malediven","Maldivene","Maldivler","モルジブ","몰디브","Мальдивы","جزر المالديف","Maldivas","马尔代夫","馬爾地夫"
"TID_MALI","Mali","Mali","Mali","Mali","Mali","Mali","Mali","Mali","マリ","말리","Мали","مالي","Mali","马里","馬利共和國"
"TID_MALTA","Malta","Malte","Malta","Malta","Malta","Malta","Malta","Malta","マルタ","말타","Мальта","مالطا","Malta","马尔他","馬爾他"
"TID_MARSHALL_ISLANDS","Marshall Islands","Îles Marshall","Marshallinseln","Islas Marshall","Isole Marshall","Marshalleilanden","Marshalløyene","Marshall Adaları","マーシャル諸島","마샬 제도","Маршалловы Острова","جزر مارشال","Ilhas Marshall","马绍尔群岛","馬紹爾群島"
"TID_MARTINIQUE","Martinique","Martinique","Martinique","Martinica","Martinica","Martinique","Martinique","Martinik","マルティニーク","마르티니크","Мартиника","مارتينيك","Martinica","马提尼克","馬丁尼克"
"TID_MAURITANIA","Mauritania","Mauritanie","Mauretanien","Mauritania","Mauritania","Mauritanië","Mauritania","Moritanya","モーリタニア","모리타니아","Мавритания","موريتانيا","Mauritânia","毛里塔尼亚","茅利塔尼亞"
"TID_MAURITIUS","Mauritius","Maurice","Mauritius","Mauricio","Mauritius","Mauritius","Mauritius","Morityus","モーリシャス","모리셔스","Маврикий","موريشيوس","Ilhas Maurício","毛里求斯","模里西斯"
"TID_MAYOTTE","Mayotte","Mayotte","Mayotte","Mayotte","Mayotte","Mayotte","Mayotte","Mayotte","マヨット","마요트","Майотта","مايوت","Ilha Mayotte","马约特岛","馬約特"
"TID_MEXICO","Mexico","Mexique","Mexiko","México","Messico","Mexico","Mexico","Meksika","メキシコ","멕시코","Мексика","المكسيك","México","墨西哥","墨西哥"
"TID_MICRONESIA","Micronesia","Micronésie","Mikronesien","Micronesia","Micronesia","Micronesië","Mikronesia","Mikronezya","ミクロネシア","미크로네시아","Микронезия","ميكرونيزيا","Micronésia","密克罗尼西亚","密克羅尼西亞群島"
"TID_MOLDOVA","Moldova","Moldavie","Moldau","Moldavia","Moldavia","Moldavië","Moldova","Moldova","モルドバ","몰도바","Молдавия","مولدوفا","Moldávia","摩尔多瓦","摩爾多瓦"
"TID_MONACO","Monaco","Monaco","Monaco","Mónaco","Principato di Monaco","Monaco","Monaco","Monako","モナコ","모나코","Монако","موناكو","Mônaco","摩纳哥","摩納哥"
"TID_MONGOLIA","Mongolia","Mongolie","Mongolei","Mongolia","Mongolia","Mongolië","Mongolia","Moğolistan","モンゴル","몽골","Монголия","منغوليا","Mongólia","蒙古","蒙古國"
"TID_MONTENEGRO","Montenegro","Monténégro","Montenegro","Montenegro","Montenegro","Montenegro","Montenegro","Karadağ","モンテネグロ","몬테네그로","Монтенегро","الجبل الأسود","Montenegro","黑山共和国","蒙特內哥羅"
"TID_MONTSERRAT","Montserrat","Montserrat","Montserrat","Montserrat","Montserrat","Montserrat","Montserrat","Montserrat","モントセラト","몬트세라트섬","Монсеррат","مونتسيرات","Montserrat","蒙特色拉特岛","蒙特塞拉特"
"TID_MOROCCO","Morocco","Maroc","Marokko","Marruecos","Marocco","Marokko","Marokko","Fas","モロッコ","모로코","Морокко","المغرب","Marrocos","摩洛哥","摩洛哥"
"TID_MOZAMBIQUE","Mozambique","Mozambique","Mosambik","Mozambique","Mozambico","Mozambique","Mosambik","Mozambik","モザンビーク","모잠비크","Мозамбик","موزمبيق","Moçambique","莫桑比克","莫三比克"
"TID_MYANMAR_BURMA","Myanmar (Burma)","Myanmar (Birmanie)","Myanmar (Burma)","Birmania","Birmania","Myanmar (Birma)","Myanmar (Burma)","Myanmar (Burma)","ミャンマー","미얀마(버마)","Мьянма","ميانمار (بورما)","Mianmar (Birmânia)","缅甸","緬甸"
"TID_NAMIBIA","Namibia","Namibie","Namibia","Namibia","Namibia","Namibië","Namibia","Namibya","ナミビア","나미비아","Намибия","ناميبيا","Namíbia","纳米比亚","納米比亞"
"TID_NAURU","Nauru","Nauru","Nauru","Nauru","Nauru","Nauru","Nauru","Nauru","ナウル","나우루","Науру","ناورو","Nauru","瑙鲁","諾魯"
"TID_NEPAL","Nepal","Népal","Nepal","Nepal","Nepal","Nepal","Nepal","Nepal","ネパール","네팔","Непал","نيبال","Nepal","尼泊尔","尼泊爾"
"TID_NETHERLANDS","Netherlands","Pays-Bas","Niederlande","Países Bajos","Paesi Bassi","Nederland","Nederland","Hollanda","オランダ","네덜란드","Нидерланды","هولندا","Holanda","荷兰","荷蘭"
"TID_NEW_CALEDONIA","New Caledonia","Nouvelle-Calédonie","Neukaledonien","Nueva Caledonia","Nuova Caledonia","Nieuw-Caledonië","Ny-Caledonia","Yeni Kaledonya","ニューカレドニア","뉴칼레도니아","Новая Каледония","كاليدونيا الجديدة","Nova Caledônia","新喀里多尼亚","新喀里多尼亞"
"TID_NEW_ZEALAND","New Zealand","Nouvelle-Zélande","Neuseeland","Nueva Zelanda","Nuova Zelanda","Nieuw-Zeeland","New Zealand","Yeni Zelanda","ニュージーランド","뉴질랜드","Новая Зеландия","نيوزيلندا","Nova Zelândia","新西兰","紐西蘭"
"TID_NICARAGUA","Nicaragua","Nicaragua","Nicaragua","Nicaragua","Nicaragua","Nicaragua","Nicaragua","Nikaragua","ニカラグア","니카라과","Никарагуа","نيكاراغوا","Nicarágua","尼加拉瓜","尼加拉瓜"
"TID_NIGER","Niger","Niger","Niger","Níger","Niger","Niger","Niger","Nijer","ニジェール","니제르","Нигер","النيجر","Níger","尼日尔","尼日"
"TID_NIGERIA","Nigeria","Nigeria","Nigeria","Nigeria","Nigeria","Nigeria","Nigeria","Nijerya","ナイジェリア","나이지리아","Нигерия","نيجيريا","Nigéria","尼日利亚","奈及利亞"
"TID_NIUE","Niue","Niue","Niue","Niue","Niue","Niue","Niue","Niue","ニウエ","니우에","Ниуэ","نيوي","Niue","纽埃","紐埃"
"TID_NORFOLK_ISLAND","Norfolk Island","Île Norfolk","Norfolkinsel","Isla Norfolk","Isola Norfolk","Norfolk","Norfolkøya","Norfolk Adası","ノーフォーク島","노폭 섬","Норфолк","جزيرة نورفولك","Ilha Norfolk","诺福克岛","諾福克島"
"TID_NORTH_KOREA","North Korea","Corée du Nord","Nordkorea","Corea del Norte","Corea del Nord","Noord-Korea","Nord-Korea","Kuzey Kore","北朝鮮","북한","Северная Корея","كوريا الشمالية","Coréia do Norte","朝鲜","北韓"
"TID_NORTHERN_MARIANA_ISLANDS","Northern Mariana Islands","Îles Mariannes du Nord","Nördliche Marianen","Islas Marianas del Norte","Isole Marianne Settentrionali","Noordelijke Marianen","Nord-Marianene","Kuzey Mariana Adaları","北マリアナ諸島","북 마리아나 제도","Северные Марианские острова","جزر مريانا الشمالية","Ilhas Marianas do Norte","北马里亚纳群岛","北馬里亞納群島"
"TID_NORWAY","Norway","Norvège","Norwegen","Noruega","Norvegia","Noorwegen","Norge","Norveç","ノルウェー","노르웨이","Норвегия","النرويج","Noruega","挪威","挪威"
"TID_OMAN","Oman","Oman","Oman","Omán","Oman","Oman","Oman","Umman","オマーン","오만","Оман","عمان","Omã","阿曼","阿曼"
"TID_PAKISTAN","Pakistan","Pakistan","Pakistan","Pakistán","Pakistan","Pakistan","Pakistan","Pakistan","パキスタン","파키스탄","Пакистан","باكستان","Paquistão","巴基斯坦","巴基斯坦"
"TID_PALAU","Palau","Palaos","Palau","Palaos","Palau","Palau","Palau","Palau","パラオ","팔라우","Палау","بالاو","Palau","帕劳","帛琉"
"TID_PALESTINE","Palestine","Palestine","Palästina","Palestina","Palestina","Palestina","Palestina","Filistin","パレスチナ","팔레스타인","Палестина","فلسطين","Palestina","巴勒斯坦","巴勒斯坦"
"TID_PANAMA","Panama","Panama","Panama","Panamá","Panama","Panama","Panama","Panama","パナマ","파나마","Панама","بنما","Panamá","巴拿马","巴拿馬"
"TID_PAPUA_NEW_GUINEA","Papua New Guinea","Papouasie-Nouvelle-Guinée","Papua-Neuguinea","Papúa Nueva Guinea","Papua Nuova Guinea","Papoea-Nieuw-Guinea","Papua Ny-Guinea","Papua Yeni Gine","パプアニューギニア","파푸아 뉴 기니","Папуа — Новая Гвинея","بابوا غينيا الجديدة","Papua-Nova Guiné","巴布亚新几内亚","巴布亞紐幾內亞"
"TID_PARAGUAY","Paraguay","Paraguay","Paraguay","Paraguay","Paraguay","Paraguay","Paraguay","Paraguay","パラグアイ","파라과이","Парагвай","بارغواي","Paraguai","巴拉圭","巴拉圭"
"TID_PERU","Peru","Pérou","Peru","Perú","Perù","Peru","Peru","Peru","ペルー","페루","Перу","بيرو","Peru","秘鲁","秘魯"
"TID_PHILIPPINES","Philippines","Philippines","Philippinen","Filipinas","Filippine","Filipijnen","Filippinene","Filipinler","フィリピン","필리핀","Филиппины","الفلبين","Filipinas","菲律宾","菲律賓"
"TID_PITCAIRN_ISLANDS","Pitcairn Islands","Îles Pitcairn","Pitcairninseln","Islas Pitcairn","Isole Pitcairn","Pitcairneilanden","Pitcairnøyene","Pitcairn Adaları","ピトケアン諸島","핏케언섬","Острова Питкэрн","جزر بيتكيرن","Ilhas Pitcairn","皮特凯恩群岛","皮特凱恩群島"
"TID_POLAND","Poland","Pologne","Polen","Polonia","Polonia","Polen","Polen","Polonya","ポーランド","폴란드","Польша","بولندا","Polônia","波兰","波蘭"
"TID_PORTUGAL","Portugal","Portugal","Portugal","Portugal","Portogallo","Portugal","Portugal","Portekiz","ポルトガル","포르투갈","Португалия","البرتغال","Portugal","葡萄牙","葡萄牙"
"TID_PUERTO_RICO","Puerto Rico","Porto Rico","Puerto Rico","Puerto Rico","Portorico","Puerto Rico","Puerto Rico","Porto Riko","プエルトリコ","푸에르토 리코","Пуэрто-Рико","بورتو ريكو","Porto Rico","波多黎各","波多黎各"
"TID_QATAR","Qatar","Qatar","Katar","Catar","Qatar","Qatar","Qatar","Katar","カタール","카타르","Катар","قطر","Catar","卡塔尔","卡達"
"TID_REUNION","Réunion","La Réunion","Réunion","Reunión","Riunione","Réunion","Réunion","Toplanma","レユニオン","레위니옹","Реюньон","لم الشمل","Ilha Reunião","留尼旺","留尼旺"
"TID_ROMANIA","Romania","Roumanie","Rumänien","Rumanía","Romania","Roemenië","Romania","Romanya","ルーマニア","루마니아","Румыния","رومانيا","Romênia","罗马尼亚","羅馬尼亞"
"TID_RUSSIA","Russia","Russie","Russland","Rusia","Russia","Rusland","Russland","Rusya","ロシア","러시아","Россия","روسيا","Rússia","俄罗斯","俄羅斯"
"TID_RWANDA","Rwanda","Rwanda","Ruanda","Ruanda","Ruanda","Rwanda","Rwanda","Ruanda","ルワンダ","르완다","Руанда","رواندا","Ruanda","卢旺达","盧安達"
"TID_SAINT_BARTHELEMY","Saint Barthélemy","Saint-Barthélemy","Saint-Barthélemy","San Bartolomé","Saint Barthélemy","Saint-Barthélemy","Saint-Barthélemy","Saint Barthélemy","サン・バルテルミー島","생바르텔레미","Сен-Бартелеми","سانت بارتيليمي","Saint Barts","圣巴托洛缪岛","聖巴泰勒米"
"TID_SAINT_HELENA","Saint Helena","Sainte-Hélène","St. Helena","Santa Elena","Sant'Elena","Sint-Helena","St. Helena","Saint Helena","セントヘレナ","헬레나","Остров Святой Елены","سانت هيلانة","Santa Helena","圣赫勒拿","聖海蓮娜"
"TID_SAINT_KITTS_AND_NEVIS","Saint Kitts and Nevis","Saint-Christophe-et-Niévès","St. Kitts und Nevis","San Cristóbal y Nieves","Saint Kitts e Nevis","Saint Kitts en Nevis","Saint Kitts og Nevi","Saint Kitts ve Nevis","セントクリストファー・ネイビス","세인트키츠네비스","Сент-Китс и Невис","سانت كيتس ونيفيس","São Cristóvão e Névis","圣基茨和尼维斯","聖克里斯多福及尼維斯"
"TID_SAINT_LUCIA","Saint Lucia","Sainte-Lucie","St. Lucia","Santa Lucía","Santa Lucia","Saint Lucia","Saint Lucia","Saint Lucia","セントルシア","세인트루시아","Сент-Люсия","سانت لوسيا","Santa Lúcia","圣卢西亚岛","聖露西亞"
"TID_SAINT_MARTIN","Saint Martin","Saint-Martin","St. Martin","San Martín","Saint Martin","Saint-Martin","Saint Martin","Saint Martin","サン・マルタン","세인트마틴","Сен-Мартен","سانت مارتن","São Martim","圣马丁岛","聖馬丁島"
"TID_SAINT_PIERRE_AND_MIQUELON","Saint Pierre and Miquelon","Saint-Pierre-et-Miquelon","St. Pierre und Miquelon","San Pedro y Miquelón","Saint Pierre e Miquelon","Saint-Pierre en Miquelon","Saint-Pierre og Miquelon","Saint Pierre ve Miquelon","サンピエール島・ミクロン島","생피에르미클롱","Сен-Пьер и Микелон","سان بيار وميكلون","Saint Pierre e Miquelon","圣皮埃尔和密克隆群岛","聖皮耶與密克隆群島"
"TID_SAMOA","Samoa","Samoa","Samoa","Samoa","Samoa","Samoa","Samoa","Samoa","サモア","사모아","Самоа","ساموا","Samoa","萨摩亚","薩摩亞"
